@title; @kind; @symbols; @prefixes; @group; @parent; @link; @definition; @description
Atomic unit of time; time; au; ; ; ; http://conversion.org/time/atomic-unit-of-time/; a0/(α·c); <b>Atomic unit of time</b> is  <i>time</i> unit, symbol: [au]. Definition of 1 atomic unit of time ≡ a0/(α·c). This is the smallest meaningful time unit under which an electron takes a circle on the first Bohr pitch divided by 2π..
Blink; time; blink; ; ; ; http://conversion.org/time/blink/; 0.25 s; <b>Blink</b> is  <i>time</i> unit. Definition of 1 blink ≡ 0.25 s. Human blink duration ranges from 0.1 to 0.4 seconds. Blink time is calculated as average of this range, and this value is a quarter of a second..
Callippic cycle; time; callippic cycle; ; ; ; http://conversion.org/time/callippic-cycle/; 76 years (Julian); <b>Callippic cycle</b> is  <i>time</i> unit. Definition of 1 Callippic cycle ≡ 76 years (Julian). One callippic cycle is equal to 441 mo (hollow) + 499 mo (full) ≡ 76 a of 365.25 d ≡ 2.3983776 Gs.
Century; time; c; ; ; ; http://conversion.org/time/century/; 100 years (Gregorian); <b>Century</b> is  <i>time</i> unit, symbol: [c]. Definition of 1 century ≡ 100 years (Gregorian). ≡ 365.2425 × 100 × 86400 seconds.
Day; time; d; ; ; ; http://conversion.org/time/day/; 24 h = 1440 min; <b>Day</b> is  <i>time</i> unit, symbol: [d]. Definition of 1 day ≡ 24 h ≡ 1440 min. One day (solar day) is period of time from noon to noon ≡ 24 hours. A solar day is the time it takes for the Earth to rotate about its axis so that the Sun appears in the same position in the sky. 24 [h] × 3600 [s] ≡ 86.4 [ks] ≡ 86400 [s].
Day (sidereal); time; d (sidereal); ; sidereal; Day; http://conversion.org/time/day-sidereal/; 23 h, 56 min, 4.0916 sec; <b>Day (sidereal)</b> is  <i>time</i> unit, symbol: [d (sidereal)]. Definition of 1 day (sidereal) ≡  23 h, 56 min, 4.0916 sec. A sidereal day is the time needed for the Earth to rotate once around its axis so that the distant stars appear in the same position in the sky. This is ~4 minutes shorter than the solar day..
Decade; time; dec; ; ; ; http://conversion.org/time/decade/; 10 years (Gregorian); <b>Decade</b> is  <i>time</i> unit, symbol: [dec]. Definition of 1 decade ≡ 10 years (Gregorian). ≡ 365.2425 × 10 × 86400 seconds.
Fortnight; time; fn; ; ; ; http://conversion.org/time/fortnight/; 2 wk; <b>Fortnight</b> is  <i>time</i> unit, symbol: [fn]. Definition of 1 fortnight ≡ 2 wk. A fortnight is a unit of time equal to 14 days (2 weeks) ≡ fourteen nights.
Gigaseconds; time; Gs; ; ; ; http://conversion.org/time/gigaseconds/; 1e9 s; <b>Gigaseconds</b> is  <i>time</i> unit, symbol: [Gs]. Definition of 1 gigaseconds ≡ 10^9 s. one billion seconds.
Helek; time; helek; ; ; ; http://conversion.org/time/helek/; 1⁄1080 h; <b>Helek</b> is Hebrew <i>time</i> unit. Definition of 1 helek ≡  1⁄1080 h. The helek (or chelek) is a unit of time used in the calculation of the Hebrew calendar. 3600 s / 1080.
